id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 129609039 ,5793eb53-5abb-11e8-911c-28924ad12c5c,  -15.623000 ,  -47.517000 ,2014-02-19 16:39:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 131807223 ,5797bcd2-5abb-11e8-911c-28924ad12c5c,  -15.619000 ,  -47.501000 ,2014-03-23 16:39:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 135206117 ,42bf1f1d-5abb-11e8-911c-28924ad12c5c,  -15.916000 ,  -47.384000 ,2014-05-12 16:27:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 134563868 ,42b59bec-5abb-11e8-911c-28924ad12c5c,  -15.921000 ,  -47.479000 ,2014-04-29 16:57:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 134678364 ,42b72282-5abb-11e8-911c-28924ad12c5c,  -15.896000 ,  -47.421000 ,2014-05-01 16:45:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 136564737 ,42e9b5ef-5abb-11e8-911c-28924ad12c5c,  -15.786000 ,  -48.237000 ,2014-06-09 16:51:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 137339888 ,57a07b81-5abb-11e8-911c-28924ad12c5c,  -15.932000 ,  -47.984000 ,2014-06-21 17:15:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 137962841 ,43198021-5abb-11e8-911c-28924ad12c5c,  -15.956000 ,  -47.586000 ,2014-06-29 16:26:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 138040446 ,57a212e1-5abb-11e8-911c-28924ad12c5c,  -15.683000 ,  -47.824000 ,2014-06-30 17:09:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 137811333 ,4313032f-5abb-11e8-911c-28924ad12c5c,  -15.985000 ,  -47.530000 ,2014-06-27 16:38:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 137811369 ,43130351-5abb-11e8-911c-28924ad12c5c,  -15.647000 ,  -47.669000 ,2014-06-27 16:38:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 138389917 ,4326ede6-5abb-11e8-911c-28924ad12c5c,  -16.042000 ,  -48.001000 ,2014-07-04 16:44:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 138389928 ,4326edeb-5abb-11e8-911c-28924ad12c5c,  -15.683000 ,  -48.134000 ,2014-07-04 16:45:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 138389962 ,4326edf3-5abb-11e8-911c-28924ad12c5c,  -15.646000 ,  -47.848000 ,2014-07-04 16:45:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 138389978 ,4326edf8-5abb-11e8-911c-28924ad12c5c,  -15.875000 ,  -48.132000 ,2014-07-04 16:45:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 138389988 ,4326edfb-5abb-11e8-911c-28924ad12c5c,  -15.874000 ,  -48.120000 ,2014-07-04 16:45:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 138390021 ,4326ee04-5abb-11e8-911c-28924ad12c5c,  -15.964000 ,  -48.185000 ,2014-07-04 16:45:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 135357198 ,42c2594f-5abb-11e8-911c-28924ad12c5c,  -15.887000 ,  -47.976000 ,2014-05-15 16:57:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 135357204 ,42c25955-5abb-11e8-911c-28924ad12c5c,  -15.965000 ,  -47.562000 ,2014-05-15 16:57:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 135617751 ,579e3e7d-5abb-11e8-911c-28924ad12c5c,  -15.864000 ,  -48.056000 ,2014-05-21 16:20:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 135617765 ,579e3e83-5abb-11e8-911c-28924ad12c5c,  -15.874000 ,  -48.048000 ,2014-05-21 16:20:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 135669303 ,42cb8a02-5abb-11e8-911c-28924ad12c5c,  -15.988000 ,  -47.760000 ,2014-05-22 17:03:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 135669297 ,42cb89fb-5abb-11e8-911c-28924ad12c5c,  -15.584000 ,  -47.399000 ,2014-05-22 17:03:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
