id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma,data,hora
8699076,546e7062-5abb-11e8-911c-28924ad12c5c,-15.807,-47.474,2003-02-10 16:53:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-02-10,16:53:00
10039136,5e8b5f03-5abb-11e8-911c-28924ad12c5c,-15.896,-48.017,2003-05-17 16:53:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-05-17,16:53:00
10266418,23ad605e-5abb-11e8-911c-28924ad12c5c,-15.989,-47.769,2003-06-02 16:53:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-06-02,16:53:00
10266417,23ad605d-5abb-11e8-911c-28924ad12c5c,-15.824,-48.026,2003-06-02 16:53:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-06-02,16:53:00
10317857,5ee086ae-5abb-11e8-911c-28924ad12c5c,-15.654,-48.216,2003-06-07 17:11:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-06-07,17:11:00
10317836,5ee086a0-5abb-11e8-911c-28924ad12c5c,-15.549,-48.004,2003-06-07 17:11:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-06-07,17:11:00
10317840,5489867c-5abb-11e8-911c-28924ad12c5c,-15.55,-47.998,2003-06-07 17:11:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-06-07,17:11:00
10317827,54898679-5abb-11e8-911c-28924ad12c5c,-15.643,-48.218,2003-06-07 17:11:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-06-07,17:11:00
10317797,5489866c-5abb-11e8-911c-28924ad12c5c,-15.645,-48.232,2003-06-07 17:11:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-06-07,17:11:00
10378430,5ea7186e-5abb-11e8-911c-28924ad12c5c,-15.772,-48.014,2003-06-11 16:47:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-06-11,16:47:00
10390005,548988d8-5abb-11e8-911c-28924ad12c5c,-15.647,-48.204,2003-06-12 17:29:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-06-12,17:29:00
10390026,5ea9458f-5abb-11e8-911c-28924ad12c5c,-15.649,-48.228,2003-06-12 17:29:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-06-12,17:29:00
10390028,5ea94591-5abb-11e8-911c-28924ad12c5c,-15.653,-48.234,2003-06-12 17:29:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-06-12,17:29:00
10390010,5ea94581-5abb-11e8-911c-28924ad12c5c,-15.664,-48.224,2003-06-12 17:29:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-06-12,17:29:00
10492407,5ecb22fc-5abb-11e8-911c-28924ad12c5c,-15.797,-48.227,2003-06-18 16:53:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-06-18,16:53:00
10525640,5ecf9a3f-5abb-11e8-911c-28924ad12c5c,-15.947,-48.154,2003-06-20 16:41:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-06-20,16:41:00
10525630,5ecf9a3b-5abb-11e8-911c-28924ad12c5c,-16.036,-47.83,2003-06-20 16:41:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-06-20,16:41:00
10525588,5ecf9a2c-5abb-11e8-911c-28924ad12c5c,-16.039,-47.834,2003-06-20 16:41:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-06-20,16:41:00
10572155,5eda1a18-5abb-11e8-911c-28924ad12c5c,-15.876,-48.164,2003-06-23 17:11:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-06-23,17:11:00
10572154,5eda1a17-5abb-11e8-911c-28924ad12c5c,-15.827,-48.076,2003-06-23 17:11:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-06-23,17:11:00
10572142,5eda1a06-5abb-11e8-911c-28924ad12c5c,-15.909,-48.158,2003-06-23 17:11:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-06-23,17:11:00
10572104,5eda19f3-5abb-11e8-911c-28924ad12c5c,-15.907,-48.144,2003-06-23 17:11:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-06-23,17:11:00
10599371,548aa5fe-5abb-11e8-911c-28924ad12c5c,-15.968,-48.157,2003-06-25 16:59:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-06-25,16:59:00
10599379,23b26154-5abb-11e8-911c-28924ad12c5c,-15.856,-48.032,2003-06-25 16:59:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-06-25,16:59:00
10599404,23b2616b-5abb-11e8-911c-28924ad12c5c,-15.709,-47.848,2003-06-25 16:59:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-06-25,16:59:00
10599445,23b26182-5abb-11e8-911c-28924ad12c5c,-15.725,-47.484,2003-06-25 16:59:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-06-25,16:59:00
10599486,23b26185-5abb-11e8-911c-28924ad12c5c,-15.716,-47.486,2003-06-25 16:59:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-06-25,16:59:00
10624707,5f13a6d8-5abb-11e8-911c-28924ad12c5c,-15.662,-48.205,2003-06-27 16:47:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-06-27,16:47:00
10624679,5f13a6cd-5abb-11e8-911c-28924ad12c5c,-15.862,-48.052,2003-06-27 16:47:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-06-27,16:47:00
10624632,5f13a6ba-5abb-11e8-911c-28924ad12c5c,-16.03,-47.682,2003-06-27 16:47:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-06-27,16:47:00
10668888,5ee9f83f-5abb-11e8-911c-28924ad12c5c,-15.925,-47.552,2003-06-30 17:17:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-06-30,17:17:00
10669084,548b2452-5abb-11e8-911c-28924ad12c5c,-15.884,-48.228,2003-06-30 17:18:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-06-30,17:18:00
10669046,548b244e-5abb-11e8-911c-28924ad12c5c,-15.887,-48.22,2003-06-30 17:18:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-06-30,17:18:00
10668968,548b244c-5abb-11e8-911c-28924ad12c5c,-15.89,-48.238,2003-06-30 17:18:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-06-30,17:18:00
10732627,5ef8efcb-5abb-11e8-911c-28924ad12c5c,-15.721,-48.184,2003-07-04 16:53:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-07-04,16:53:00
10732714,548ba690-5abb-11e8-911c-28924ad12c5c,-15.72,-48.175,2003-07-04 16:53:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2003-07-04,16:53:00
